MouseID,DYRK1A_N,ITSN1_N,BDNF_N,NR1_N,NR2A_N,pAKT_N,pBRAF_N,pERK_N,pMEK_N,Bcatenin_N,CDK5_N,Tau_N,GFAP_N,pCASP9_N,Ubiquitin_N,Genotype,Treatment,Behavior,class
309_1,0.503643884,0.747193224,0.4301753,2.81632854,5.990151664,0.218830018,0.177565491,0.687906244,0.296927319,3.037620642,0.29469997,0.125190375,0.115290892,1.603309981,1.044979186,Control,Memantine,C/S,c-CS-m
309_2,0.51461708,0.689063548,0.411770344,2.789514042,5.685037861,0.211636155,0.172817023,0.69500623,0.281318892,2.921882488,0.294059816,0.13427507,0.118234503,1.671737556,1.009883059,Control,Memantine,C/S,c-CS-m
311_1,0.743117916,0.862652731,0.377741793,2.735757397,6.067569557,0.219049021,0.185337848,1.081554541,0.29942588,2.620197262,0.28539108,0.182546865,0.13697479,1.127407886,1.177892696,Control,Memantine,C/S,c-CS-m
311_2,0.711479945,0.807053942,0.351590595,2.546887967,5.595573997,0.199170124,0.165975104,1.07593361,0.250207469,2.422959889,0.278737542,0.184186047,0.136345515,1.137009967,1.115681063,Control,Memantine,C/S,c-CS-m
3477_1,0.591618368,0.814979938,0.414979938,2.706107891,5.256263932,0.260989746,0.18724922,0.914578689,0.294605439,2.708247882,0.299687124,0.194368231,0.115090253,1.598026474,1.105222623,Control,Saline,C/S,c-CS-s
3477_2,0.58980671,0.840444931,0.42432531,2.803701678,5.534372721,0.269420131,0.192833698,0.956236324,0.351932896,2.804248724,0.302553171,0.18458408,0.121602636,1.597112543,1.093115644,Control,Saline,C/S,c-CS-s
3478_1,0.44583838,0.719069043,0.419017131,2.859231701,5.321076311,0.229537982,0.171223395,0.504758609,0.290621215,2.650285517,0.324154026,0.231458576,0.124387398,1.884107351,1.109451575,Control,Saline,C/S,c-CS-s
3478_2,0.427416551,0.723226704,0.432892907,2.939673157,5.384909597,0.234440195,0.169853964,0.521905424,0.294680111,2.757736439,0.347635514,0.269517362,0.136511956,1.964544879,1.202990308,Control,Saline,C/S,c-CS-s
364_1,0.28678941,0.497916947,0.337857815,2.589436904,4.283832818,0.271468889,0.191640908,0.355059804,0.288939659,2.670071227,0.282608696,0.180266381,0.090707287,1.466855481,1.330296999,Control,Memantine,S/C,c-SC-m
364_2,0.290814936,0.513082584,0.337149087,2.586399564,4.214636141,0.258926138,0.194603434,0.370264377,0.295993459,2.683701281,0.271164225,0.174942174,0.095990748,1.412259059,1.31842714,Control,Memantine,S/C,c-SC-m
365_1,0.295470714,0.53355466,0.337206545,2.508299739,4.517785155,0.228005691,0.183424235,0.371591179,0.328788238,2.475100783,0.297487641,0.184397643,0.099952597,1.661678066,1.38464143,Control,Memantine,S/C,c-SC-m
365_2,0.309431681,0.539782346,0.347400242,2.544860943,4.586577993,0.237968561,0.184401451,0.376783555,0.302055623,2.565900846,0.290218878,0.185157319,0.101709986,1.622777018,1.392339261,Control,Memantine,S/C,c-SC-m
3424_1,0.375535645,0.567588625,0.333463187,2.632904818,4.346967926,0.221919231,0.183872224,0.442410077,0.293598234,2.635631736,0.290784328,0.208883642,0.113923117,1.522688704,1.296391943,Control,Saline,S/C,c-SC-s
3424_2,0.379772271,0.581379772,0.335432016,2.64822505,4.874614869,0.235900871,0.185532485,0.449698593,0.300468855,2.75177495,0.294394971,0.206839781,0.11711442,1.539100501,1.346329417,Control,Saline,S/C,c-SC-s
3481_1,0.29436796,0.511889862,0.330162703,2.894618273,4.876595745,0.223654568,0.1718398,0.332290363,0.269461827,3.080100125,0.29552485,0.172819138,0.114937788,1.779748402,1.269608854,Control,Saline,S/C,c-SC-s
3481_2,0.297662666,0.518256475,0.333796589,2.989766267,5.347694251,0.225521162,0.174478838,0.327858497,0.2730259,3.029564119,0.284778604,0.169748243,0.112301289,1.803302176,1.273862318,Control,Saline,S/C,c-SC-s
